Value,RDatatype,maxLength,maxPrecision,minValue_unsigned,maxValue_unsigned,distinctValue,distinctLength
character,is.character,255,,,,,1
character varying,is.character,65535,,,,,
character large object,is.character,2147483647,,,,,
national character,is.character,255,,,,,1
national character varying,is.character,65535,,,,,
national character large object,is.character,2147483647,,,,,
text,is.character,65535,,,,,
tinytext,is.character,255,,,,,
mediumtext,is.character,16777215,,,,,
longtext,is.character,4294967295,,,,,
binary,is.integer,255 ,,,,,1
binary varying,is.integer,32704,,,,,
binary large object,is.integer,2147483647,,,,,
mediumblob,is.integer,16777215,,,,,
longblob,is.integer,4294967295,,,,,
integer,is.integer,,,-2147483648,2147483648,,
tinyint,is.integer,,,-128,127,,
mediumint,is.integer,,,-8388608,8388608,,
smallint,is.integer,,,-32767,32767,,
bigint,is.integer,,,-9.22E+18,-9.22E+18,,
float,is.numeric,,24,-1.79E+308,1.79E+308,,
real,is.numeric,,,-3.40E+38,3.40E+38,,
double precision,is.double,,53,-1.79E+308,1.79E+308,,
numeric,is.numeric,,38,-1.00E+38,1.00E+38,,
decimal,is.decimal,,38,-1.00E+38,1.00E+38,,
bit,is.integer,,,-9.22E+18,-9.22E+18,,1
bit varying,is.integer,,,-9.22E+18,-9.22E+18,,
date,,,,,,,
time,,,,,,,
datetime,,,,,,,
timestamp,is.numeric,,,,,,
year,is.integer,,,1,9999,,
interval,is.numeric,,,,,,
interval day,is.numeric,,,,,,
interval year,is.numeric,,,,,,
currency,is.numeric,19,4,-3.96E+28,3.96E+28,,
money,is.numeric,,,-9.22E+14,9.22E+14,,
boolean,,,,,,2,
xml,,,,,,,
enum,,,,,,65535,
